generation,mean_fitness,mean_evaluation_count
116,366.1,9360.0
117,367.5,9440.0
118,370.8,9520.0
119,373.3,9600.0
120,375.1,9680.0
121,376.4,9760.0
122,378.1,9840.0
123,379.9,9920.0
124,382.8,10000.0
125,384.6,10080.0
126,385.8,10160.0
127,387.5,10240.0
128,389.0,10320.0
129,390.9,10400.0
130,392.9,10480.0
131,394.3,10560.0
132,395.7,10640.0
133,396.9,10720.0
134,398.2,10800.0
135,399.8,10880.0
136,401.4,10960.0
137,403.3,11040.0
138,405.5,11120.0
139,406.8,11200.0
140,408.1,11280.0
141,409.9,11360.0
142,411.3,11440.0
143,413.0,11520.0
144,414.0,11600.0
145,415.6,11680.0
146,417.8,11760.0
147,419.3,11840.0
148,421.7,11920.0
149,423.2,12000.0
150,425.5,12080.0
151,427.2,12160.0
152,429.3,12240.0
153,430.3,12320.0
154,431.6,12400.0
155,433.0,12480.0
156,434.4,12560.0
157,436.0,12640.0
158,437.3,12720.0
159,438.6,12800.0
160,440.0,12880.0
161,441.3,12960.0
162,442.7,13040.0
163,444.0,13120.0
164,446.3,13200.0
165,447.7,13280.0
166,448.8,13360.0
167,449.5,13440.0
168,450.3,13520.0
169,451.5,13600.0
170,453.0,13680.0
171,454.7,13760.0
172,456.0,13840.0
173,457.3,13920.0
174,458.3,14000.0
175,459.7,14080.0
176,461.1,14160.0
177,462.0,14240.0
178,462.9,14320.0
179,464.8,14400.0
180,466.3,14480.0
181,467.9,14560.0
182,468.7,14640.0
183,470.1,14720.0
184,471.2,14800.0
185,472.1,14880.0
186,473.1,14960.0
187,474.3,15040.0
188,475.2,15120.0
189,477.0,15200.0
190,478.3,15280.0
191,479.5,15360.0
192,480.8,15440.0
193,481.3,15520.0
194,482.8,15600.0
195,483.6,15680.0
196,484.6,15760.0
197,485.4,15840.0
198,486.4,15920.0
199,487.4,16000.0
200,488.2,16080.0
201,488.7,16160.0
202,489.7,16240.0
203,490.8,16320.0
204,491.5,16400.0
205,492.5,16480.0
206,493.7,16560.0
207,494.7,16640.0
208,495.8,16720.0
209,497.0,16800.0
210,497.5,16880.0
211,498.5,16960.0
212,499.5,17040.0
213,499.8,17120.0
214,500.7,17200.0
215,501.8,17280.0
216,502.5,17360.0
217,504.0,17440.0
218,505.3,17520.0
219,506.6,17600.0
220,507.4,17680.0
221,508.3,17760.0
222,508.7,17840.0
223,509.6,17920.0
224,510.8,18000.0
225,511.2,18080.0
226,512.0,18160.0
227,513.2,18240.0
228,514.1,18320.0
229,515.0,18400.0
230,516.3,18480.0
231,516.8,18560.0
232,517.6,18640.0
233,518.3,18720.0
234,519.3,18800.0
235,520.5,18880.0
236,521.4,18960.0
237,522.7,19040.0
238,523.1,19120.0
239,523.5,19200.0
240,524.4,19280.0
241,525.7,19360.0
242,526.4,19440.0
243,527.4,19520.0
244,527.9,19600.0
245,529.2,19680.0
246,530.0,19760.0
247,530.8,19840.0
248,532.7,19920.0
249,533.5,20000.0
250,534.2,20080.0
251,535.2,20160.0
252,536.0,20240.0
253,536.6,20320.0
254,537.3,20400.0
255,538.6,20480.0
256,539.7,20560.0
257,540.1,20640.0
258,541.0,20720.0
259,541.5,20800.0
260,542.4,20880.0
261,542.7,20960.0
262,543.1,21040.0
263,543.6,21120.0
264,544.1,21200.0
265,545.1,21280.0
266,546.4,21360.0
267,547.5,21440.0
268,548.0,21520.0
269,548.8,21600.0
270,549.2,21680.0
271,550.2,21760.0
272,551.0,21840.0
273,552.0,21920.0
274,553.1,22000.0
275,553.5,22080.0
276,554.6,22160.0
277,555.0,22240.0
278,556.1,22320.0
